areaType,areaName,areaCode,date,plannedPCRCapacityByPublishDate,newPCRTestsByPublishDate,cumPCRTestsByPublishDate,plannedAntibodyCapacityByPublishDate,newAntibodyTestsByPublishDate,cumAntibodyTestsByPublishDate
overview,United Kingdom,K02000001,2021-02-07,739738,252132,65794746,121100,2340,3162720
overview,United Kingdom,K02000001,2021-02-06,740345,342335,65530599,121100,2437,3161577
overview,United Kingdom,K02000001,2021-02-05,740302,374342,65187717,121100,4848,3159140
overview,United Kingdom,K02000001,2021-02-04,740611,387559,64813378,121100,7986,3154292
overview,United Kingdom,K02000001,2021-02-03,770305,376921,64425820,121100,6886,3146306
overview,United Kingdom,K02000001,2021-02-02,768851,318257,64048966,121100,8938,3139420
overview,United Kingdom,K02000001,2021-02-01,778967,190074,63730709,121100,12449,3120958
overview,United Kingdom,K02000001,2021-01-31,796690,243538,63540686,121100,8281,3108509
overview,United Kingdom,K02000001,2021-01-30,800097,332831,63275357,121100,11602,3098472
overview,United Kingdom,K02000001,2021-01-29,806463,384494,62942530,121100,16432,3086870
overview,United Kingdom,K02000001,2021-01-28,805634,405337,62558052,121100,26428,3070438
overview,United Kingdom,K02000001,2021-01-27,812225,416040,62152716,121100,46746,3043466
overview,United Kingdom,K02000001,2021-01-26,810972,328748,61736678,121100,49300,2996720
overview,United Kingdom,K02000001,2021-01-25,809470,196510,61407931,121100,3841,2936855
overview,United Kingdom,K02000001,2021-01-24,811855,262111,61211413,121100,571,2933014
overview,United Kingdom,K02000001,2021-01-23,809456,389209,60949302,121100,1940,2932443
overview,United Kingdom,K02000001,2021-01-22,814605,401075,60560094,121100,2485,2930503
overview,United Kingdom,K02000001,2021-01-21,814525,439408,60154755,121100,3659,2928018
overview,United Kingdom,K02000001,2021-01-20,815648,434099,59715286,121100,4194,2922828
overview,United Kingdom,K02000001,2021-01-19,817011,357850,59269588,121100,3744,2918634
overview,United Kingdom,K02000001,2021-01-18,816386,262499,58908794,121100,3250,2905932
overview,United Kingdom,K02000001,2021-01-17,806417,320122,58633233,121100,636,2902682
overview,United Kingdom,K02000001,2021-01-16,809202,408345,58310423,121100,1437,2902046
overview,United Kingdom,K02000001,2021-01-15,810189,416812,57895694,121100,4126,2900609
overview,United Kingdom,K02000001,2021-01-14,806881,526562,57478883,121100,4231,2896483
overview,United Kingdom,K02000001,2021-01-13,817535,473277,56952321,121100,3911,2892252
overview,United Kingdom,K02000001,2021-01-12,799814,417070,56468161,121100,3384,2888341
overview,United Kingdom,K02000001,2021-01-11,793534,325287,56051093,121100,1922,2863199
overview,United Kingdom,K02000001,2021-01-10,784972,414752,55718621,121100,575,2860709
overview,United Kingdom,K02000001,2021-01-09,786910,500720,55303869,121100,946,2860134
overview,United Kingdom,K02000001,2021-01-08,779418,544657,54803153,121100,2578,2859428
overview,United Kingdom,K02000001,2021-01-07,776382,501093,54258496,121100,3846,2856855
overview,United Kingdom,K02000001,2021-01-06,768882,461690,53756909,121100,3776,2853009
overview,United Kingdom,K02000001,2021-01-05,774238,400325,53286837,121100,2700,2844354
overview,United Kingdom,K02000001,2021-01-04,760952,357568,52883611,121100,1989,2841654
overview,United Kingdom,K02000001,2021-01-03,753753,377037,52515234,121100,718,2839665
